"name,college,college,college,college,college,college,college,college,college",college
"U1313,longwood university,longwood university,longwood university,longwood university,longwood university,,,,",
"U8804,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,longwood university,longwood university,longwood university,longwood university",longwood university
"U2136,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna",universit&#xe0; di bologna
"U6021,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U7310,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,illinois wesleyan university,university of illinois at urbana-champaign",illinois wesleyan university
"U22859,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U25611,university of southern maine,university of southern maine,university of southern maine,university of southern maine,university of southern maine,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras",indian institute of technology madras
"U25611,penn high school,penn high school,penn high school,penn high school,penn high school,university of southern maine,university of southern maine,university of southern maine,university of southern maine",university of southern maine
"U2631,beihang university,beihang university,beihang university,beihang university,beihang university,penn high school,penn high school,penn high school,penn high school",penn high school
"U3895,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,beihang university,beihang university,beihang university,beihang university",beihang university
"U13005,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U9709,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U9140,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U15272,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;",sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;
"U3933,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology",bangladesh university of engineering and technology
"U2622,wuhan university,wuhan university,wuhan university,wuhan university,wuhan university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U11562,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,zhejiang university,zhejiang university,wuhan university,zhejiang university",wuhan university
